#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Sep_2023_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2023-09-01 00:05:00 to 2023-09-26 03:00:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   85,20230901.0005/
   84,20230901.0010/
   83,20230901.0015/
   83,20230901.0035/
   84,20230901.0040/
   84,20230901.0045/
   77,20230901.0105/
   79,20230901.0110/
   83,20230901.0115/
   84,20230901.0135/
   83,20230901.0140/
   77,20230901.0145/
   76,20230901.0205/
   75,20230901.0210/
   76,20230901.0215/
   75,20230901.0235/
   75,20230901.0240/
   76,20230901.0245/
   75,20230901.0305/
   77,20230901.0310/
   77,20230901.0315/
   79,20230901.0335/
   78,20230901.0340/
   78,20230901.0345/
   82,20230901.0405/
   82,20230901.0410/
   79,20230901.0415/
   81,20230901.0435/
   81,20230901.0440/
   79,20230901.0445/
   77,20230901.0505/
   80,20230901.0510/
   83,20230901.0515/
   85,20230901.0535/
   84,20230901.0540/
   86,20230901.0545/
   92,20230901.0605/
   92,20230901.0610/
   92,20230901.0615/
   99,20230901.0635/
   97,20230901.0640/
   97,20230901.0645/
   97,20230901.0705/
   98,20230901.0710/
  102,20230901.0715/
  101,20230901.0735/
  101,20230901.0740/
  101,20230901.0745/
  104,20230901.0805/
  105,20230901.0810/
  101,20230901.0815/
  105,20230901.0835/
  102,20230901.0840/
  110,20230901.0845/
  113,20230901.0905/
  114,20230901.0910/
  111,20230901.0915/
  114,20230901.0935/
  117,20230901.0940/
  116,20230901.0945/
  119,20230901.1005/
  117,20230901.1010/
  117,20230901.1015/
  116,20230901.1035/
  115,20230901.1040/
  113,20230901.1045/
  113,20230901.1105/
  114,20230901.1110/
  116,20230901.1115/
  115,20230901.1135/
  117,20230901.1140/
  119,20230901.1145/
  117,20230901.1205/
  113,20230901.1210/
  109,20230901.1215/
  106,20230901.1235/
  111,20230901.1240/
  111,20230901.1245/
  109,20230901.1305/
  107,20230901.1310/
  107,20230901.1315/
  105,20230901.1335/
  101,20230901.1340/
  101,20230901.1345/
  101,20230901.1405/
  101,20230901.1410/
  100,20230901.1415/
   93,20230901.1435/
   94,20230901.1440/
   98,20230901.1445/
   89,20230901.1505/
   87,20230901.1510/
   92,20230901.1515/
   86,20230901.1535/
   89,20230901.1540/
   86,20230901.1545/
   83,20230901.1605/
   79,20230901.1610/
   82,20230901.1615/
   82,20230901.1635/
   83,20230901.1640/
   86,20230901.1645/
   79,20230901.1705/
   79,20230901.1710/
   79,20230901.1715/
   81,20230901.1735/
   80,20230901.1740/
   78,20230901.1745/
   77,20230901.1805/
   76,20230901.1810/
   77,20230901.1815/
   79,20230901.1835/
   75,20230901.1840/
   72,20230901.1845/
   77,20230901.1905/
   76,20230901.1910/
   75,20230901.1915/
   78,20230901.1935/
   85,20230901.1940/
   87,20230901.1945/
   83,20230901.2005/
   81,20230901.2010/
   80,20230901.2015/
   80,20230901.2035/
   83,20230901.2040/
   83,20230901.2045/
   85,20230901.2105/
   85,20230901.2110/
   83,20230901.2115/
   87,20230901.2135/
   87,20230901.2140/
   85,20230901.2145/
   90,20230901.2205/
   92,20230901.2210/
   93,20230901.2215/
   96,20230901.2235/
   93,20230901.2240/
   93,20230901.2245/
   94,20230901.2305/
   94,20230901.2310/
   96,20230901.2315/
   95,20230901.2335/
   98,20230901.2340/
   94,20230901.2345/
   92,20230902.0005/
   89,20230902.0010/
   90,20230902.0015/
   93,20230902.0035/
   93,20230902.0040/
   93,20230902.0045/
   92,20230902.0105/
   89,20230902.0110/
   87,20230902.0115/
   86,20230902.0135/
   88,20230902.0140/
   88,20230902.0145/
   87,20230902.0205/
   86,20230902.0210/
   86,20230902.0215/
   82,20230902.0235/
   79,20230902.0240/
   83,20230902.0245/
   83,20230902.0305/
   81,20230902.0310/
   80,20230902.0315/
   81,20230902.0335/
   78,20230902.0340/
   81,20230902.0345/
   82,20230902.0405/
   79,20230902.0410/
   80,20230902.0415/
   81,20230902.0435/
   80,20230902.0440/
   79,20230902.0445/
   80,20230902.0505/
   82,20230902.0510/
   86,20230902.0515/
   84,20230902.0535/
   82,20230902.0540/
   83,20230902.0545/
   88,20230902.0605/
   87,20230902.0610/
   82,20230902.0615/
   84,20230902.0635/
   86,20230902.0640/
   87,20230902.0645/
   91,20230902.0705/
   89,20230902.0710/
   93,20230902.0715/
   96,20230902.0735/
   96,20230902.0740/
   92,20230902.0745/
  100,20230902.0805/
   99,20230902.0810/
   95,20230902.0815/
   97,20230902.0835/
   98,20230902.0840/
  100,20230902.0845/
  100,20230902.0905/
   99,20230902.0910/
   99,20230902.0915/
  100,20230902.0935/
  100,20230902.0940/
   99,20230902.0945/
  103,20230902.1005/
  108,20230902.1010/
  110,20230902.1015/
  109,20230902.1035/
  110,20230902.1040/
  109,20230902.1045/
  108,20230902.1105/
  107,20230902.1110/
  105,20230902.1115/
  108,20230902.1135/
  105,20230902.1140/
  102,20230902.1145/
  107,20230902.1205/
  108,20230902.1210/
  108,20230902.1215/
  106,20230902.1235/
  104,20230902.1240/
  109,20230902.1245/
  108,20230902.1305/
  107,20230902.1310/
  108,20230902.1315/
  104,20230902.1335/
  104,20230902.1340/
  101,20230902.1345/
  104,20230902.1405/
  101,20230902.1410/
   96,20230902.1415/
   91,20230902.1435/
   90,20230902.1440/
   99,20230902.1445/
   97,20230902.1505/
   99,20230902.1510/
   91,20230902.1515/
   90,20230902.1535/
   89,20230902.1540/
   90,20230902.1545/
   87,20230902.1605/
   85,20230902.1610/
   91,20230902.1615/
   86,20230902.1635/
   92,20230902.1640/
   94,20230902.1645/
  103,20230902.1705/
   97,20230902.1710/
   88,20230902.1715/
   96,20230902.1735/
   93,20230902.1740/
   92,20230902.1745/
   90,20230902.1805/
   94,20230902.1810/
   99,20230902.1815/
   95,20230902.1835/
   98,20230902.1840/
   94,20230902.1845/
  100,20230902.1905/
   94,20230902.1910/
   93,20230902.1915/
   96,20230902.1935/
   97,20230902.1940/
  103,20230902.1945/
  100,20230902.2005/
  106,20230902.2010/
  104,20230902.2015/
  107,20230902.2035/
  107,20230902.2040/
  106,20230902.2045/
  109,20230902.2105/
  100,20230902.2110/
  109,20230902.2115/
  118,20230902.2135/
  120,20230902.2140/
  111,20230902.2145/
  103,20230902.2205/
  112,20230902.2210/
  119,20230902.2215/
  120,20230902.2235/
  116,20230902.2240/
  119,20230902.2245/
  129,20230902.2305/
  130,20230902.2310/
  125,20230902.2315/
  135,20230902.2335/
  133,20230902.2340/
  139,20230902.2345/
  138,20230903.0005/
  139,20230903.0010/
  129,20230903.0015/
  127,20230903.0035/
  120,20230903.0040/
  122,20230903.0045/
  122,20230903.0105/
  117,20230903.0110/
  115,20230903.0115/
  113,20230903.0135/
  108,20230903.0140/
  108,20230903.0145/
  115,20230903.0205/
  125,20230903.0210/
  122,20230903.0215/
  123,20230903.0235/
  118,20230903.0240/
  116,20230903.0245/
  106,20230903.0305/
  111,20230903.0310/
  115,20230903.0315/
  108,20230903.0335/
  102,20230903.0340/
   99,20230903.0345/
   99,20230903.0405/
   94,20230903.0410/
   85,20230903.0415/
   90,20230903.0435/
   92,20230903.0440/
   99,20230903.0445/
   98,20230903.0505/
   85,20230903.0510/
   90,20230903.0515/
   95,20230903.0535/
  102,20230903.0540/
  107,20230903.0545/
   95,20230903.0605/
